Coluna;Microrregião
CNAE 2.0 Subclasse;11001:PORTO VELHO;11002:GUAJARÁ-MIRIM;11003:ARIQUEMES;11004:JI-PARANÁ;11005:ALVORADA DOESTE;11006:CACOAL;11007:VILHENA;11008:COLORADO DO OESTE;12001:CRUZEIRO DO SUL;12002:TARAUACÁ;12003:SENA MADUREIRA;12004:RIO BRANCO;12005:BRASILÉIA;13001:RIO NEGRO-AM;13002:JAPURÁ;13003:ALTO SOLIMÕES;13004:JURUÁ;13005:TEFÉ;13006:COARI;13007:MANAUS;13008:RIO PRETO DA EVA;13009:ITACOATIARA;13010:PARINTINS;13011:BOCA DO ACRE;13012:PURUS;13013:MADEIRA;14001:BOA VISTA;14002:NORDESTE DE RORAIMA;14003:CARACARAÍ;14004:SUDESTE DE RORAIMA;15001:ÓBIDOS;15002:SANTARÉM;15003:ALMEIRIM;15004:PORTEL;15005:FUROS DE BREVES;15006:ARARI;15007:BELÉM;15008:CASTANHAL;15009:SALGADO;15010:BRAGANTINA;15011:CAMETÁ;15012:TOMÉ-AÇU;15013:GUAMÁ;15014:ITAITUBA;15015:ALTAMIRA;15016:TUCURUÍ;15017:PARAGOMINAS;15018:SÃO FÉLIX DO XINGU;15019:PARAUAPEBAS;15020:MARABÁ;15021:REDENÇÃO;15022:CONCEIÇÃO DO ARAGUAIA;16001:OIAPOQUE;16002:AMAPÁ;16003:MACAPÁ;16004:MAZAGÃO;17001:BICO DO PAPAGAIO;17002:ARAGUAÍNA;17003:MIRACEMA DO TOCANTINS;17004:RIO FORMOSO;17005:GURUPI-TO;17006:PORTO NACIONAL;17007:JALAPÃO;17008:DIANÓPOLIS;Total
0139303:Cultivo de pimenta-do-reino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128;81;172;1;405;62;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;909
0139304:Cultivo de plantas para condimento, exceto pimenta-do-reino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;13
0139305:Cultivo de dendê;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128;0;0;0;0;0;0;171;303;5;1458;10;11280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13355
0139306:Cultivo de seringueira;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;18;0;0;0;0;0;2;3;56;2;4;0;0;90
0139399:Cultivo de outras plantas de lavoura permanente não especificadas anteriormente;3;0;2;12;0;301;1;0;1;0;0;1;2;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;114;34;66;1;135;69;0;1;0;28;0;0;0;0;0;0;0;0;0;0;8;2;2;0;2;0;12;806
0141501:Produção de sementes certificadas, exceto de forrageiras para pasto;1;0;0;6;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;7;0;0;0;0;0;15;1;34;0;0;0;0;0;0;0;0;4;3;0;9;0;0;0;0;0;0;2;0;0;0;32;3;0;0;0;0;0;1;0;9;1;151;0;0;284
0141502:Produção de sementes certificadas de forrageiras para formação de pasto;1;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;2;0;2;17
0142300:Produção de mudas e outras formas de propagação vegetal, certificadas;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;228;4;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;0;2;1;0;0;1;287
0151201:Criação de bovinos para corte;1005;197;1191;998;303;1532;1867;820;65;194;265;2073;213;0;0;1;36;0;0;17;5;14;1;366;85;37;106;41;114;29;73;69;35;50;0;318;421;190;65;241;132;649;1058;332;846;986;2376;3115;1444;1336;3629;1849;3;40;213;9;779;3097;1469;1423;1440;441;297;595;40595
0151202:Criação de bovinos para leite;51;39;75;408;21;101;31;28;5;8;8;94;0;0;0;0;2;0;0;39;11;2;0;0;2;2;3;17;9;0;1;13;0;0;0;7;17;36;3;17;17;28;51;19;60;176;413;128;33;73;140;39;0;0;8;0;135;309;311;92;79;119;26;73;3379
0151203:Criação de bovinos, exceto para corte e leite;66;9;23;121;5;21;4;23;20;8;1;32;2;0;0;0;1;0;0;5;3;0;0;4;0;0;14;0;2;6;4;14;4;0;0;37;18;57;7;31;2;38;27;11;62;68;201;53;36;62;62;53;0;0;17;0;41;64;111;61;102;49;14;35;1711
0152101:Criação de bufalinos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;41;53;0;0;0;3;0;0;0;0;1;3;0;4;1;0;0;0;11;62;0;1;4;1;1;2;0;0;1;194
0152102:Criação de eqüinos;0;0;0;1;0;11;4;0;0;0;0;5;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;5;0;3;57
0152103:Criação de asininos e muares;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;4;1;0;4;0;0;11;10;5;1;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;0;84
0153901:Criação de caprinos;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;8;0;4;0;0;33
0153902:Criação de ovinos, inclusive para produção de lã;0;0;0;1;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;21
0154700:Criação de suínos;6;0;0;0;0;0;2;5;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;17;7;0;0;0;1;2;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;5;1;7;0;4;70
