Coluna;Microrregião
CNAE 2.0 Subclasse;50001:BAIXO PANTANAL;50002:AQUIDAUANA;50003:ALTO TAQUARI;50004:CAMPO GRANDE;50005:CASSILÂNDIA;50006:PARANAÍBA;50007:TRÊS LAGOAS;50008:NOVA ANDRADINA;50009:BODOQUENA;50010:DOURADOS;50011:IGUATEMI;51001:ARIPUANÃ;51002:ALTA FLORESTA;51003:COLÍDER;51004:PARECIS;51005:ARINOS;51006:ALTO TELES PIRES;51007:SINOP;51008:PARANATINGA;51009:NORTE ARAGUAIA;51010:CANARANA;51011:MÉDIO ARAGUAIA;51012:ALTO GUAPORÉ;51013:TANGARÁ DA SERRA;51014:JAURU;51015:ALTO PARAGUAI;51016:ROSÁRIO OESTE;51017:CUIABÁ;51018:ALTO PANTANAL;51019:PRIMAVERA DO LESTE;51020:TESOURO;51021:RONDONÓPOLIS;51022:ALTO ARAGUAIA;52001:SÃO MIGUEL DO ARAGUAIA;52002:RIO VERMELHO;52003:ARAGARÇAS;52004:PORANGATU;52005:CHAPADA DOS VEADEIROS;52006:CERES;52007:ANÁPOLIS;52008:IPORÁ;52009:ANICUNS;52010:GOIÂNIA;52011:VÃO DO PARANÃ;52012:ENTORNO DE BRASÍLIA;52013:SUDOESTE DE GOIÁS;52014:VALE DO RIO DOS BOIS;52015:MEIA PONTE;52016:PIRES DO RIO;52017:CATALÃO;52018:QUIRINÓPOLIS;53001:BRASÍLIA;Total
0154700:Criação de suínos;0;0;223;128;12;1;2;0;3;214;270;1;0;0;15;0;847;248;0;1;0;0;0;0;0;0;0;2;0;32;0;90;3;0;0;0;5;0;29;30;3;0;118;0;85;1138;148;34;17;42;38;276;4055
0155501:Criação de frangos para corte;1;8;0;114;0;12;2;0;0;65;22;0;0;0;5;0;677;5;0;1;0;0;0;21;12;2;0;11;0;306;0;1;1;4;16;0;2;0;1;186;0;16;103;19;121;703;35;176;228;20;9;694;3599
0155502:Produção de pintos de um dia;0;0;0;84;0;0;212;0;0;47;0;0;0;0;0;0;84;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;40;0;66;0;0;0;0;409;983
0155503:Criação de outros galináceos, exceto para corte;0;0;1;7;0;0;0;0;0;17;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;1;8;0;66;0;0;7;0;19;0;200;0;1;0;0;13;417
0155504:Criação de aves, exceto galináceos;0;2;18;20;0;0;0;0;0;4;3;0;1;0;0;0;19;4;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;14;0;30;0;0;12;0;0;120;3;2;25;1;0;39;321
0155505:Produção de ovos;1;0;24;150;116;0;6;0;0;112;38;2;0;0;0;0;205;29;1;0;11;0;0;54;0;0;0;6;0;932;205;0;0;0;0;0;0;15;7;859;0;0;702;0;401;614;0;46;2;0;0;295;4833
0159801:Apicultura;0;0;1;6;0;0;0;0;4;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;15;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;4;0;0;0;1;6;0;5;58
0159802:Criação de animais de estimação;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;8;0;0;2;0;2;0;0;0;0;1;0;15;38
0159804:Criação de bicho-da-seda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
0159899:Criação de outros animais não especificados anteriormente;0;3;20;11;0;0;17;0;2;4;34;1;1;1;1;0;6;6;0;2;0;0;0;0;0;0;0;16;34;5;3;5;4;2;6;5;2;6;19;21;0;0;62;3;28;41;7;83;7;12;11;19;510
0161001:Serviço de pulverização e controle de pragas agrícolas;7;0;42;46;60;3;65;0;13;76;27;13;1;4;43;10;22;10;1;1;20;0;1;49;9;0;4;28;3;96;0;15;22;5;11;4;1;0;8;1;8;6;48;18;32;172;9;107;2;0;17;1;1141
0161002:Serviço de poda de árvores para lavouras;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;11;5;0;0;0;0;0;2;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;67
0161003:Serviço de preparação de terreno, cultivo e colheita;7;12;36;24;71;62;104;34;19;117;190;0;9;0;92;22;74;45;32;15;31;22;0;83;2;2;0;5;1;91;13;69;9;5;0;0;16;0;45;3;2;27;22;66;199;481;125;184;7;26;33;16;2550
0161099:Atividades de apoio à agricultura não especificadas anteriormente;32;12;92;289;29;84;40;156;19;267;68;43;7;27;464;2;116;71;1;16;13;5;2;98;10;0;21;1028;11;271;16;34;34;53;39;3;49;17;50;110;12;41;247;51;427;347;129;282;43;85;275;1469;7107
0162801:Serviço de inseminação artificial em animais;0;11;1;10;0;0;0;0;0;0;0;0;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;4;0;1;1;0;2;0;0;0;3;49
0162803:Serviço de manejo de animais;2;3;0;6;0;1;5;2;3;51;0;2;0;0;1;0;0;0;6;0;1;4;0;1;0;0;0;6;0;0;0;1;0;5;3;2;1;1;9;24;1;0;23;0;30;9;35;19;1;2;0;12;272
0162899:Atividades de apoio à pecuária não especificadas anteriormente;42;82;193;310;61;9;102;68;43;190;83;96;1;10;0;22;27;17;1;100;5;59;11;28;18;1;14;1010;13;5;11;61;1;35;90;28;48;37;28;242;17;17;188;75;552;321;58;324;30;137;28;167;5116
0163600:Atividades de pós-colheita;0;0;10;2;7;6;0;5;13;23;0;0;4;0;6;0;9;13;3;1;0;0;0;0;0;0;0;5;2;60;0;12;0;0;1;21;0;0;0;41;0;0;120;0;16;240;7;0;41;0;0;511;1179
0170900:Caça e serviços relacionados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;3
0210101:Cultivo de eucalipto;0;135;41;146;2;639;2965;15;1;39;53;10;3;0;14;0;7;0;11;0;21;0;0;25;0;0;0;98;0;8;38;57;14;0;3;0;0;8;3;14;2;4;2;1;109;72;16;9;8;9;1;18;4621
0210103:Cultivo de pinus;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;244;0;0;284
0210104:Cultivo de teca;0;0;0;0;0;0;0;0;0;0;0;3;11;7;0;0;0;0;0;0;74;0;0;17;143;0;151;6;156;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0;0;0;0;0;0;0;0;0;578
0210105:Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca;0;0;2;2;0;0;11;0;0;2;0;22;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;7;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;1;0;0;0;0;0;2;56
0210106:Cultivo de mudas em viveiros florestais;0;0;2;10;17;0;69;3;0;16;15;0;8;2;24;0;11;35;1;0;0;2;0;78;0;0;2;42;0;4;11;13;0;0;0;0;6;28;0;0;0;0;4;0;57;4;8;0;0;0;0;12;484
0210107:Extração de madeira em florestas plantadas;0;0;0;31;12;8;224;8;0;1;4;65;19;15;0;66;7;71;2;0;0;0;0;2;3;0;0;11;0;0;0;46;0;0;0;0;110;56;0;28;0;5;13;2;9;19;4;0;10;156;2;1;1010
0210108:Produção de carvão vegetal - florestas plantadas;40;8;11;15;2;6;449;12;31;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;11;1;1;1;0;0;0;0;0;1;7;2;0;0;0;4;3;12;624
0210109:Produção de casca de acácia-negra - florestas plantadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;30
0210199:Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;0;15
0220901:Extração de madeira em florestas nativas;0;0;6;9;0;0;4;19;13;1;0;203;43;4;0;112;6;278;0;8;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;3;0;0;0;0;9;0;4;2;3;0;0;2;3;0;0;736
0220902:Produção de carvão vegetal - florestas nativas;12;66;17;26;6;27;201;0;26;1;4;0;4;0;0;2;0;4;0;0;0;0;0;0;2;0;0;0;0;2;6;6;10;4;0;0;6;0;0;0;0;0;0;7;2;1;0;0;0;0;0;0;442
0220903:Coleta de castanha-do-pará em florestas nativas;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
0220904:Coleta de látex em florestas nativas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;3;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;31
0220905:Coleta de palmito em florestas nativas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
